campaign_name,impressions,clicks,ctr,conversions,cost,cpa,channel
Brand Awareness Q1,150000,4500,3.0,120,8500.00,70.83,Google Ads
Product Launch Beta,85000,3400,4.0,95,6200.00,65.26,Google Ads
Retargeting Black Friday,200000,12000,6.0,450,15000.00,33.33,Meta Ads
Summer Sale 2024,120000,2400,2.0,80,5500.00,68.75,Meta Ads
Lead Gen B2B,45000,1350,3.0,42,4800.00,114.29,LinkedIn Ads
Webinar Registration,32000,1920,6.0,85,3200.00,37.65,LinkedIn Ads
App Install iOS,180000,9000,5.0,320,12000.00,37.50,Meta Ads
App Install Android,165000,8250,5.0,295,11000.00,37.29,Meta Ads
Brand Video Campaign,250000,7500,3.0,45,18000.00,400.00,YouTube Ads
Influencer Collab,75000,6000,8.0,25,9500.00,380.00,TikTok Ads
Holiday Season Push,195000,11700,6.0,380,14500.00,38.16,Google Ads
Newsletter Signup,55000,2750,5.0,180,4200.00,23.33,Google Ads
Free Trial Offer,88000,5280,6.0,12,7800.00,650.00,Meta Ads
Enterprise Demo,28000,840,3.0,28,6500.00,232.14,LinkedIn Ads
Local Store Traffic,42000,1680,4.0,95,3100.00,32.63,Google Ads
Seasonal Collection,110000,4400,4.0,145,7200.00,49.66,Meta Ads
Premium Membership,65000,3250,5.0,0,8200.00,0.00,Google Ads
Referral Program,38000,1900,5.0,72,2800.00,38.89,Meta Ads
Cold Outreach Test,8500,170,2.0,3,1200.00,400.00,LinkedIn Ads
Competitor Conquest,95000,4750,5.0,110,9800.00,89.09,Google Ads
Gen Z Engagement,145000,11600,8.0,35,11500.00,328.57,TikTok Ads
Cart Abandonment,62000,4340,7.0,195,4800.00,24.62,Meta Ads
New Market Entry,35000,700,2.0,8,5200.00,650.00,Google Ads
Loyalty Program,48000,2880,6.0,165,3600.00,21.82,Meta Ads
Executive Whitepaper,12000,360,3.0,18,2400.00,133.33,LinkedIn Ads
